                    Player     Country  Level     Total XP
1     Vichy Hannes | ҜΞ 〽️          EE  1,706  102,108,265
2                  Sukhdev          IN  1,651   95,652,102
3       ✦𝓟𝓲̂𝓽𝓫𝓾̂𝓵𝓵♾️✦️🦁 |Ⱥ          CA  1,454   74,188,056
4         <--{ HUNTER }-->          US  1,376   66,467,585
5                VinaY ₹ɘȵ          IN  1,319   61,106,060
6                      Leo          AR  1,189   49,648,611
7                    Romeo          US  1,178   48,734,044
8              ｍａｒｋ ｍｅｒｃｅｒ          GB  1,165   47,618,650
9   Charlotte Xena [Prime]          CA  1,140   45,623,891
10                  Jurgen          DE  1,112   43,423,779
11                  Skylar          SG  1,065   39,852,589
12             HeEna azFar          PK  1,021   36,653,345
13                     axe          US  1,000   35,128,782
14              MovinOnUp.  QU_ENGLAND    973   33,228,148
15                    Mace          PH    902   28,607,393
